MARKETING CHI NHÁNH	CNHCM	CNMBC5
TTKH 304 Trường Chinh, Tân Bình	1101	110111
TTKH 151/3 Nguyễn Ảnh Thủ, Hóc Môn	1102	110212
TTKH 23-23A Nguyễn Ảnh Thủ, Quận 12	1103	110313
TTKH 230B Lê Văn Sỹ, Tân Bình	1104	110414
TTKH 508-510 Lý Thường Kiệt, Tân Bình	1105	110515
PNJ Coop Củ Chi	1107	110716
TTKH 126A Tỉnh Lộ 8, Củ Chi	1108	110817
TTKH 172-174 Lê Thánh Tôn, Quận 1	1109	110918
TTKH 71 Ông Ích Khiêm, Quận 11	1110	111019
TTKH A27/7 Quốc lộ 50, Bình Chánh	1112	111220
TTKH 5 Tân Mỹ, Quận 7	1113	111321
TTKH 241-243 Phạm Hùng, Quận 8	1114	111422
TTKH 358 Bạch Đằng, Bình Thạnh	1116	111623
TTKH 182B-182C Hòa Bình, Tân Phú	1118	111824
TTKH 699-701 Lũy Bán Bích, Tân Phú	1119	111925
TTKH 229-231 Xô Viết Nghệ Tĩnh, Bình Thạnh	1121	112126
TTKH 317A Lê Quang Định, Bình Thạnh	1122	112227
PNJ Aeon Bình Tân	1124	112428
PNJ Big C Miền Đông	1126	112629
PNJ Vạn Hạnh Mall	1127	112730
PNJ CoopExtra Sư Vạn Hạnh	1128	112831
PNJ Big C PANDORA	1129	112932
PNJ Aeon Tân Phú	1130	113033
PNJ Big C Tân Thành	1132	113234
TTKH 403 Thống Nhất, Gò Vấp	1133	113335
TTKH 202-208 Tân Hương, Tân Phú	1117	111736
PNJ NEXT 362 Nguyễn Văn Nghi, Gò Vấp	1134	113437
TTKH 411-413 Quang Trung, Gò Vấp	1136	113638
TTKH 375 Nguyễn Oanh, Gò Vấp	1137	113739
TTKH 255A-255B Hậu Giang, Quận 6	1138	113840
TTKH 909 Hậu Giang, Quận 6	1139	113941
TTKH 56B-56C Bà Hom, Quận 6	1140	114042
TTKH 292 Hai Bà Trưng, Quận 1	1141	114143
TTKH 159A Phan Đăng Lưu, Phú Nhuận	1142	114244
TTKH 664/1-666 Nguyễn Đình Chiểu, Quận 3	1143	114345
TTKH 86-88 Nguyễn Trãi, Quận 5	1144	114446
TTKH 132 Cách Mạng Tháng Tám, Quận 3	1145	114547
PNJ Coop Xa Lộ Hà Nội	1147	114748
PNJ Vincom Lê Văn Việt	1148	114849
PNJ CoopExtra Thủ Đức	1149	114950
PNJ Vincom Thủ Đức	1150	115051
Vincom Nguyễn Xí (TTTM Saigonres BTH)	1151	115152
PNJ Vincom Cộng Hòa	1152	115253
PNJ Lottemart Gò Vấp	1153	115354
PNJ Vincom Quang Trung	1154	115455
PNJ Vincom Gò Vấp	1155	115556
PNJ Coop Cống Quỳnh	1156	115657
PNJ Nowzone	1157	115758
PNJ Parkson Lê Thánh Tôn	1158	115859
PNJ  Vincom Đồng Khởi	1159	115960
Co.op Nguyễn Đình Chiểu	1160	116061
PNJ Parkson Hùng Vương	1161	116162
PNJ Tân Sơn Nhất Quốc Nội	1163	116363
PNJ Tân Sơn Nhất Quốc Tế	1164	116464
